"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","MO","Missouri","COM","commercial","407774","12.71","351.554","2765.89161","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MO","Missouri","IND","industrial","9338","9.84","112.18898","1140.1702","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MO","Missouri","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MO","Missouri","RES","residential","2911663","16.22","523.03665","3224.70689","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MO","Missouri","TRA","transportation","2","11.91",".23752","1.99354","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MS","Mississippi","ALL","all sectors","1631479","12.45","563.51536","4526.87422","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MS","Mississippi","COM","commercial","253411","13.83","181.49334","1312.04708","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MS","Mississippi","IND","industrial","12625","8.29","121.08688","1461.3303","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MS","Mississippi","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MS","Mississippi","RES","residential","1365443","14.88","260.93514","1753.49685","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MS","Mississippi","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MT","Montana","ALL","all sectors","730506","11.81","139.90962","1184.96642","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MT","Montana","COM","commercial","143014","13.48","55.37331","410.72837","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MT","Montana","IND","industrial","14087","6.68","25.79904","386.15405","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MT","Montana","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MT","Montana","RES","residential","573405","15.14","58.73726","388.08401","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MT","Montana","TRA","transportation","0","0","0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MTN","Mountain","ALL","all sectors","12751231","12.12","3715.03382","30653.72237","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MTN","Mountain","COM","commercial","1562496","11.9","1302.62255","10948.58175","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MTN","Mountain","IND","industrial","102443","8.45","693.33017","8203.34879","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MTN","Mountain","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MTN","Mountain","RES","residential","11086287","14.95","1717.63893","11489.14855","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MTN","Mountain","TRA","transportation","5","11.41","1.44216","12.64328","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","NC","North Carolina","ALL","all sectors","6014157","11.98","1539.19287","12843.50785","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","NC","North Carolina","COM","commercial","758643","10.51","489.92777","4662.82539","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","NC","North Carolina","IND","industrial","8573","7.87","179.07292","2275.76171","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","NC","North Carolina","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","NC","North Carolina","RES","residential","5246940","14.74","870.0842","5903.84631","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","NC","North Carolina","TRA","transportation","1","10.05",".10799","1.07444","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","ND","North Dakota","ALL","all sectors","491379","9.01","209.58149","2326.53756","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
